,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
1,13.3,14,16.4,16.1,17.3,17.1,17.1,17.3,16.8,18
2,14,14.5,16.6,15.9,17.7,17,17.9,17.5,16.6,19
3,14,14.4,15.8,16.6,16.9,16.7,18,17.6,16.7,18.3
4,14.1,14.6,16.3,16.9,17.9,16.9,19,17.5,16.7,17.8
5,14.2,15.4,16.3,17.5,19.4,17.2,19.1,18.4,17.4,18.6
6,15,15.6,17.1,18.1,20,18.5,19.1,19.1,18.3,19.3
7,15.4,15.6,17.3,17.2,20.2,19.1,19.6,19.3,18.5,20
8,15.3,16.2,17.7,17.7,21.3,18.5,19,19.3,18.2,19.2
9,15.3,16.7,17.9,17.2,19.9,18.8,20.1,18.8,19,19.6
10,14.8,17.4,17.2,17.5,18,19.2,18.4,18.8,18.4,18.9
11,14.6,17.6,16.3,16.9,16.9,17,18.3,17.9,17.4,18.5
12,14.4,16.5,15.9,16.7,16.6,17.8,17.7,17.3,17.5,18.2
